Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get £100 if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/5/2018 11:28:18,Bioinformatics and Systems biology,no,0,mu,ja,male,I have no idea what you are talking about,1996-05-02,7,no,3,3,12,Good night rest,No compile errors on first try
4/5/2018 11:28:21,OR,no,0,mu,nee,male,neither,1995,3,no,10,ACHT,0,Sports,Chocolate
4/5/2018 11:28:23,Computational Science,yes,unknown,mu,ja,male,neither,1990,1,no,80,4,300,productivity,no pain
4/5/2018 11:28:25,Bioinformatics & Systems Biology,no,0,mu,nee,male,fat,26-11-1993,1,no,5,382763,23,Good sleep,Cheese
4/5/2018 11:28:26,AI,yes,0,mu,ja,male,fat,18-08-1994,1,no,20,7,23:00,Coffee,Music
4/5/2018 11:28:29,AI VU ,no,0,mu,nee,male,fat,30-12-1990,5,no,50,6,3am,Good sleep,Sports
4/5/2018 11:28:30,Computational Science,yes,0,sigma,nee,male,neither,August 7th,2,no,0,4,4:30,1,2
4/5/2018 11:28:32,Business Analytics ,yes,1,sigma,ja,male,unknown,05/04/2000,400,unknown,1E+24,7,04:00,Guest lecture by Tupac,0 heart attacks
4/5/2018 11:28:42,Cls,no,0,sigma,nee,male,slim,25-12-1991,7,no,0.34,7,02:00,Temptation Island,Sun
4/5/2018 11:28:56,QRM,no,0,mu,ja,male,I have no idea what you are talking about,18 March,1,no,5,3,0,"Sunshine, structure ","Following 4 courses at the same time, rain"
4/5/2018 11:29:04,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,24-10-1993,1,no,£.25,5,1:05,A good book,Nice people
4/5/2018 11:29:27,Ai,yes,1,mu,ja,male,I have no idea what you are talking about,9/02/93,6,no,50,9,3 3,Hanging out,Sex
4/5/2018 11:30:36,Artificial Intelligence,no,0,mu,nee,male,slim,09-11,2,unknown,0.50 euros,6123,23.3,food,friends
4/5/2018 11:38:01,Econometrics ,no,0,mu,nee,male,fat,22/11/1991,3,no,2,2,2 am,Freedom,Money
4/5/2018 12:10:39,AI,no,0,unknown,unknown,female,neither,20-05-1993,7,unknown,0,88,22.47,Sun,Activities
4/5/2018 13:15:17,AI,yes,1,mu,nee,male,fat,30-07-1992,8,no,11,2,04:00,The foresight of a night out with friends,The taste of that first sip of cold beer on a hot summer day
4/5/2018 15:09:53,Physics,no,1,mu,nee,male,neither,04-12-1991,5,no,about 0.4£ for N=250,10,01:30,Good company,Well rested and structured
4/5/2018 18:04:54,BA,yes,1,mu,ja,male,fat,7-10-1994,3,no,80,6,1:00,Sleep,Relax
